City,State,Rank,Population,lat,lon
Cicero,Illinois,377,84103,41.8455877,-87.7539448
Fishers,Indiana,378,83891,39.9567548,-86.01335
Sugar Land,Texas,379,83860,29.6196787,-95.6349463
Danbury,Connecticut,380,83684,41.394817,-73.4540111
Meridian,Idaho,381,83596,43.6121087,-116.3915131
Indio,California,382,83539,33.7205771,-116.2155619
Concord,North Carolina,383,83506,35.4087517,-80.579511
Menifee,California,384,83447,33.6971468,-117.185294
Champaign,Illinois,385,83424,40.1164204,-88.2433829
Buena Park,California,386,82882,33.8675143,-117.9981181
Troy,Michigan,387,82821,42.6064095,-83.1497751
O'Fallon,Missouri,388,82809,38.8106075,-90.6998477
Johns Creek,Georgia,389,82788,34.0289259,-84.198579
Bellingham,Washington,390,82631,48.74908,-122.4781473
Westland,Michigan,391,82578,42.324204,-83.400211
Bloomington,Indiana,392,82575,39.165325,-86.5263857
Sioux City,Iowa,393,82459,42.4999942,-96.4003069
Warwick,Rhode Island,394,81971,41.7001009,-71.4161671
Hemet,California,395,81750,33.7475203,-116.9719684
Longview,Texas,396,81443,32.5007037,-94.7404891
Farmington Hills,Michigan,397,81295,42.4989936,-83.3677168
Bend,Oregon,398,81236,44.0581728,-121.3153096
Lakewood,California,399,81121,33.8536269,-118.1339563
Merced,California,400,81102,37.3021632,-120.4829677
Mission,Texas,401,81050,26.2159066,-98.3252932
Chino,California,402,80988,34.0122346,-117.688944
Redwood City,California,403,80872,37.4852152,-122.2363548
Edinburg,Texas,404,80836,26.3017374,-98.1633432
Cranston,Rhode Island,405,80566,41.7798226,-71.4372796
Parma,Ohio,406,80429,41.4047742,-81.7229086
New Rochelle,New York,407,79446,40.9114882,-73.7823549
Lake Forest,California,408,79312,33.6469661,-117.689218
Napa,California,409,79068,38.2975381,-122.286865
Hammond,Indiana,410,78967,41.5833688,-87.5000412
Fayetteville,Arkansas,411,78960,36.0625795,-94.1574263
Bloomington,Illinois,412,78902,40.4842027,-88.9936873
Avondale,Arizona,413,78822,33.4355977,-112.3496021
Somerville,Massachusetts,414,78804,42.3875968,-71.0994968
Palm Coast,Florida,415,78740,29.5844524,-81.2078699
Bryan,Texas,416,78709,30.6743643,-96.3699632
Gary,Indiana,417,78450,41.5933696,-87.3464271
Largo,Florida,418,78409,27.9094665,-82.7873244
Brooklyn Park,Minnesota,419,78373,45.0941315,-93.3563405
Tustin,California,420,78327,33.7458511,-117.826166
Racine,Wisconsin,421,78199,42.7261309,-87.7828523
Deerfield Beach,Florida,422,78041,26.3184123,-80.0997657
Lynchburg,Virginia,423,78014,37.4137536,-79.1422464
Mountain View,California,424,77846,37.3860517,-122.0838511
Medford,Oregon,425,77677,42.3265152,-122.8755949
Lawrence,Massachusetts,426,77657,42.7070354,-71.1631137
Bellflower,California,427,77593,33.8816818,-118.1170117
Melbourne,Florida,428,77508,28.0836269,-80.6081089
St. Joseph,Missouri,429,77147,39.7674578,-94.846681
Camden,New Jersey,430,76903,39.9259463,-75.1196199
St. George,Utah,431,76817,37.0965278,-113.5684164
Kennewick,Washington,432,76762,46.2112458,-119.1372338
Baldwin Park,California,433,76635,34.0852868,-117.9608978
Chino Hills,California,434,76572,33.9898188,-117.7325848
Alameda,California,435,76419,37.7652065,-122.2416355
Albany,Georgia,436,76185,31.5785074,-84.155741
Arlington Heights,Illinois,437,75994,42.0883603,-87.9806265
Scranton,Pennsylvania,438,75806,41.408969,-75.6624122
Evanston,Illinois,439,75570,42.0450722,-87.6876969
Kalamazoo,Michigan,440,75548,42.2917069,-85.5872286
Baytown,Texas,441,75418,29.7355047,-94.9774274
Upland,California,442,75413,34.09751,-117.6483876
Springdale,Arkansas,443,75229,36.1867442,-94.1288141
Bethlehem,Pennsylvania,444,75018,40.6259316,-75.3704579
Schaumburg,Illinois,445,74907,42.0333607,-88.0834059
Mount Pleasant,South Carolina,446,74885,32.8323225,-79.8284258
Auburn,Washington,447,74860,47.3073228,-122.2284532
Decatur,Illinois,448,74710,39.8403147,-88.9548001
San Ramon,California,449,74513,37.7799273,-121.9780153
Pleasanton,California,450,74110,37.6624312,-121.8746789
Wyoming,Michigan,451,74100,42.9133602,-85.7053085
Lake Charles,Louisiana,452,74024,30.2265949,-93.2173758
Plymouth,Minnesota,453,73987,45.0105194,-93.4555093
Bolingbrook,Illinois,454,73936,41.6986416,-88.0683955
Pharr,Texas,455,73790,26.1947962,-98.1836216
Appleton,Wisconsin,456,73596,44.2619309,-88.4153847
Gastonia,North Carolina,457,73209,35.262082,-81.1873005
Folsom,California,458,73098,38.6779591,-121.1760583
Southfield,Michigan,459,73006,42.4733688,-83.2218731
Rochester Hills,Michigan,460,72952,42.6583661,-83.1499322
New Britain,Connecticut,461,72939,41.6612104,-72.7795419
Goodyear,Arizona,462,72864,33.4353394,-112.3576567
Canton,Ohio,463,72535,40.7989473,-81.378447
Warner Robins,Georgia,464,72531,32.6130007,-83.624201
Union City,California,465,72528,37.5933918,-122.0438298
Perris,California,466,72326,33.7825194,-117.2286478
Manteca,California,467,71948,37.7974273,-121.2160526
Iowa City,Iowa,468,71591,41.6611277,-91.5301683
